Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Sam Walker,-,-,-,-
Vadaine Oliver,2.6,0.3,0.5,1.8
Robert Atkinson,0.9,0.1,0.1,0.7
Jayden Stockley,2,0.1,0.4,1.5
Aiden McGeady,2.2,1.3,-,0.9
Jonson Clarke-Harris,2.9,0.7,0.4,1.9
Charlie Wyke,2.4,0.1,0.4,1.9
Siriki Dembélé,1.8,0.7,0.1,1
Jorge Grant,1.8,1,0.2,0.6
Josef Bursik,-,-,-,-
Benjamin Whiteman,2.3,1.8,-,0.6
George Honeyman,0.7,0.1,0.1,0.5
Thomas Hamer,0.9,0.4,-,0.4
Cameron Burgess,0.7,0.1,0.1,0.5
Mark McGuinness,0.6,-,0.2,0.5
Danny Ballard,0.5,-,0.2,0.3
Brandon Fleming,0.3,0.3,-,-
Joe Pigott,3.5,1.2,0.2,2.1
Callum Elder,0.3,0.2,-,0.1
Jake Forster-Caskey,1.3,1,-,0.3
Morgan Rogers,1.9,0.9,-,1
Nathan Baxter,-,-,-,-
Ryan Inniss,1.1,-,0.2,0.9
Joe Ward,1.2,0.7,-,0.6
Lee Evans,2,1.5,-,0.5
Alfie Doughty,0.7,0.6,-,0.1
Josh Ruffels,1.3,0.4,0.2,0.8
Mallik Wilks,3.2,1,0.2,2
Scott Fraser,2.1,0.8,-,1.3
Robbie Cundy,1.3,-,0.2,1.2
Sam Long,0.5,-,0.1,0.4
Ronan Curtis,2.2,0.9,0.1,1.2
Joe Lumley,-,-,-,-
Lewie Coyle,0.3,0.3,-,-
Will Nightingale,0.8,-,0.2,0.6
Jordan Thorniley,0.4,-,-,0.4
Mark Beevers,0.2,-,0.1,0.2
Joe Pritchard,2.6,1.8,-,0.8
Dan Butler,0.5,0.2,-,0.2
Frankie Kent,0.5,0.1,0.1,0.2
Ronnie Edwards,-,-,-,-
Jordan Graham,1,0.3,-,0.7
Ross Sykes,1.1,0.1,-,1
Nathan Thompson,0.3,0.1,0.1,0.2
Michael Nottingham,0.6,0.1,0.1,0.4
Connor Ogilvie,0.7,-,0.1,0.6
Perry Ng,0.9,0.5,0.1,0.3
James Wilson,0.2,-,0.1,0.1
Harry Smith,1.3,0.3,-,1
Sean Raggett,1,-,0.2,0.7
Daníel Grétarsson,0.3,0.1,-,0.3
Matthew Lund,1.4,0.5,0.3,0.6
Jack Tucker,0.3,-,0.1,0.2
Jack Taylor,1.1,0.6,0.1,0.4
Colby Bishop,2,0.1,0.5,1.4
Brandon Barker,1.1,0.7,-,0.4
George Dobson,0.7,0.4,-,0.3
Jordy de Wijs,1.4,-,0.6,0.9
Luke Garbutt,1.2,0.9,-,0.3
Kyle Dempsey,1.2,0.6,0.1,0.5
Wes Burns,1.1,0.3,0.1,0.7
Stephen Humphrys,3.3,1.4,0.3,1.6
Jake Beesley,1.6,0.1,0.3,1.1
Tom Naylor,1.1,0.6,0.1,0.4
Greg Docherty,1.6,1,-,0.6
Cian Bolger,0.6,0.1,-,0.5
Reece Burke,0.4,0.1,0.1,0.2
Lloyd Jones,0.2,-,-,0.1
Jacob Greaves,0.6,-,0.3,0.4
Luke Matheson,-,-,-,-
Hayden Carter,1,0.1,0.1,0.8
Tom Anderson,0.5,-,0.1,0.4
Peter Kioso,0.7,0.1,-,0.6
Lewis Montsma,0.5,0.2,0.1,0.2
Aristote Nsiala,0.3,-,0.2,0.1
Stuart Moore,-,-,-,-
Elliott Moore,0.7,-,0.1,0.6
Akin Famewo,0.1,-,-,0.1
Luke O'Nien,0.6,-,0.1,0.5
Jonny Smith,2.1,0.8,0.1,1.3
Sam Stubbs,0.4,-,-,0.4
Bailey Wright,0.7,-,0.1,0.5
Kenneth Dougall,0.6,0.3,0.1,0.3
Ellis Simms,2.3,0.1,0.4,1.7
Kal Naismith,1.6,0.8,0.1,0.8
Matt O'Riley,2,1.3,-,0.7
James Henry,1.9,1,0.1,0.9
Liam Bridcutt,0.4,0.3,-,-
Jerry Yates,1.9,0.4,0.3,1.3
Luke Woolfenden,0.2,-,-,0.1
Liam Millar,1.4,0.5,-,0.8
Matty Taylor,1.8,0.3,0.4,1.1
Conor McLaughlin,0.4,0.1,-,0.2
Gwion Edwards,1.5,0.8,0.1,0.6
Brennan Johnson,2.3,0.7,0.1,1.5
George Cooper,2,1.3,-,0.8
Mikael Mandron,1.5,0.2,0.2,1.1
Marvin Ekpiteta,0.4,-,0.1,0.3
Harry Chapman,1.5,0.6,-,0.9
Sean McConville,1.5,1,-,0.5
Jordan Jones,1.6,0.8,0.1,0.8
Luke Leahy,1,0.3,0.2,0.6
Joe Wright,0.3,-,0.1,0.2
Matthew Pennington,0.3,-,0.1,0.2
Sean Clare,1,0.8,-,0.3
Matthew Millar,1.4,0.2,0.2,1
Dion Charles,2.7,0.7,0.3,1.6
Josh Vela,1,0.6,-,0.3
Tom Flanagan,0.5,0.1,0.2,0.3
Ian Maatsen,0.9,0.5,-,0.3
Aaron Pierre,1,0.1,0.2,0.7
Joshua Emmanuel,0.2,0.1,-,0.1
Josh Magennis,1.6,0.3,0.3,0.9
Jack Whatmough,0.6,0.1,0.1,0.4
George Johnston,0.3,0.1,-,0.2
Callum Connolly,0.7,0.1,0.1,0.5
Curtis Tilt,0.7,-,0.1,0.6
Sam Hughes,0.4,-,0.4,-
Sullay Kaikai,1.7,0.8,-,0.9
Fraser Horsfall,0.8,0.1,0.1,0.7
Oliver Rathbone,1.7,1.2,0.1,0.5
Billy Jones,1,0.3,-,0.7
Tom Hopper,1,0.1,0.3,0.6
Charlie Kirk,1.4,0.3,0.1,0.9
Keane Lewis-Potter,2.2,0.7,0.1,1.4
Luke Chambers,0.4,0.1,0.1,0.3
Shaun Whalley,1.5,0.7,-,0.7
Andy Butler,0.3,-,0.1,0.2
Robert Apter,1,-,-,1
Conor McGrandles,0.6,0.2,0.1,0.4
Callum Camps,1.7,1,-,0.7
Mark Hughes,0.1,0.1,-,0.1
Chuks Aneke,2.3,0.3,0.3,1.6
Denver Hume,0.7,0.2,-,0.5
Cameron Pring,-,-,-,-
Tom James,1.2,0.9,0.1,0.3
Andrew Shinnie,0.7,0.4,-,0.3
Cameron Jerome,1.8,0.1,0.2,1.4
Sammie Szmodics,2.6,0.9,-,1.6
Conor Grant,1.2,1.1,-,0.2
Marcus Harness,1.1,0.4,-,0.7
Eoghan O'Connell,0.6,0.3,0.1,0.3
Ethan Ebanks-Landell,0.4,-,0.1,0.2
Joe Walsh,0.3,-,0.1,0.3
Nathanael Ogbeta,1.2,0.7,-,0.5
Ayoub Assal,1.3,0.1,0.2,1
Oliver Norburn,0.6,0.3,-,0.3
Harry Pickering,0.7,0.4,-,0.3
Charlie Daniels,0.7,0.4,-,0.4
Adam Jackson,0.4,-,-,0.4
Scott Wootton,0.6,0.1,0.2,0.3
Cameron Brannagan,1.7,1.2,-,0.5
Grant Leadbitter,0.9,0.7,-,0.2
Josef Bursik,-,-,-,-
Zech Medley,0.5,0.1,0.1,0.3
Luke O'Neill,0.3,0.3,-,-
John Marquis,2.4,0.5,0.3,1.6
Tayo Edun,0.2,0.1,-,0.1
Ethan Laird,0.8,0.2,-,0.6
Taylor Richards,2,1.3,-,0.7
Ben Barclay,0.3,-,-,0.2
Elliot Lee,1.7,0.8,0.1,0.8
Lynden Gooch,1.3,0.7,0.1,0.6
Richard Smallwood,0.5,0.5,-,-
Jack Baldwin,0.6,0.1,0.1,0.4
Louis Jones,-,-,-,-
Aaron Morley,0.6,0.5,-,0.1
Kane Hemmings,1.4,0.4,0.2,0.9
Will Jaaskelainen,-,-,-,-
CJ Hamilton,2.1,0.5,-,1.6
John Brayford,0.9,0.2,0.1,0.6
Joseph Mills,0.6,0.4,-,0.1
Callum Lang,2.3,0.6,0.5,1.2
Gary Madine,1.8,0.4,0.1,1.3
Josh Sims,1.1,0.3,0.1,0.8
Alfie Jones,0.2,-,-,0.2
Tom Pearce,0.5,0.3,-,0.2
Owen Dale,1.5,0.3,0.3,0.9
James Hill,0.5,-,0.2,0.3
Andre Dozzell,0.4,0.4,-,-
Tyreece John-Jules,2,0.4,0.1,1.4
Lucas Akins,1.2,0.3,0.1,0.8
Tendayi Darikwa,0.6,0.4,-,0.2
Elliot Embleton,1.7,1,-,0.7
Nathan Cameron,-,-,-,-
George Long,-,-,-,-
Matthew Virtue-Thick,0.8,0.3,0.1,0.4
Adedeji Oshilaja,0.1,0.1,0.1,-
James Husband,0.2,-,-,0.1
Alfie Kilgour,0.7,0.1,0.1,0.6
Marcus McGuane,1.2,0.7,-,0.5
Jayson Leutwiler,-,-,-,-
Dejan Iliev,-,-,-,-
Max Power,1.1,0.6,-,0.5
Charlie Mulgrew,0.7,0.4,0.1,0.2
Kieron Freeman,0.5,0.5,-,-
Michael Bostwick,0.6,0.3,-,0.3
Callum Johnson,0.1,0.1,-,-
Dean Lewington,0.1,0.1,-,-
Ben Amos,-,-,-,-
Darnell Johnson,0.6,-,0.1,0.5
Daniel Batty,0.9,0.4,0.1,0.4
Terell Thomas,0.3,-,-,0.3
Oliver Turton,0.3,0.1,0.1,0.1
Ched Evans,2.1,0.4,0.1,1.6
Barrie McKay,1,0.5,-,0.5
Nesta Guinness-Walker,0.3,0.3,-,0.1
Joe Garner,2,0.7,-,1.3
Dion Sanderson,0.3,-,0.1,0.2
Ryan Williams,1.3,0.5,0.1,0.8
Will Aimson,0.5,0.1,0.1,0.4
Alex Palmer,-,-,-,-
Flynn Downes,0.3,0.1,-,0.2
Chris Maguire,1.3,0.9,-,0.4
Sam Hoskins,2.1,1.1,-,1
Harry Darling,0.7,0.3,-,0.4
Timothy Eyoma,0.2,-,-,0.1
Josh Scowen,0.9,0.4,-,0.5
Paul Downing,0.3,-,-,0.3
Carlton Morris,1.6,0.5,0.1,1
Alex Rodriguez,0.2,0.2,-,-
Sam Finley,0.9,0.8,-,0.1
Luke Offord,0.2,-,0.1,0.1
Will Keane,1.2,0.3,0.3,0.5
Jason Pearce,0.5,-,0.1,0.4
Scott Twine,3.2,2.6,-,0.6
Josh Eccles,0.9,0.7,-,0.3
Ryan Wintle,0.8,0.6,-,0.2
James Bolton,0.8,-,0.2,0.6
Regan Poole,0.6,0.2,0.2,0.3
Joseph Dodoo,0.9,0.1,0.2,0.7
Ben Watson,0.5,0.3,-,0.2
Chris Maxwell,-,-,-,-
Andrew Cannon,0.7,0.7,-,0.1
Reece Brown,0.6,0.5,-,0.2
Reece James,1.1,0.4,-,0.6
Panutche Camará,1.2,0.5,-,0.7
Luke McCormick,1.9,1.2,-,0.8
William Grigg,1.6,0.2,0.5,1
Jordan Willis,0.1,-,-,0.1
Alex Gilbey,1.4,0.3,0.1,1
Danny Andrew,0.8,0.6,-,0.3
Janoi Donacien,0.2,0.1,-,0.1
Alan Judge,1.6,1,0.1,0.5
Teddy Bishop,0.8,0.5,-,0.3
Darnell Johnson,0.8,-,-,0.8
James Norwood,2,0.2,0.3,1.5
Ollie Palmer,1.2,-,0.2,1
Ross Stewart,1.3,0.2,0.2,1
Michael Nottingham,0.7,-,-,0.7
Jordan Rossiter,0.4,0.3,-,0.1
Ellis Harrison,1.6,0.4,0.2,1
Anthony Forde,0.6,0.4,-,0.2
Joshua Earl,0.1,-,-,0.1
Jack Stevens,-,-,-,-
Myles Kenlock,0.2,0.1,-,0.1
Stephen Ward,0.3,0.1,-,0.1
Thomas O'Connor,0.4,0.2,-,0.1
Christy Pym,-,-,-,-
Ben Garratt,-,-,-,-
Danny Mayor,1.7,0.8,-,0.8
Charles Vernam,1.9,0.9,0.1,0.8
Harvey Rodgers,1,0.3,0.1,0.7
Steve Arnold,-,-,-,-
Jed Ward,-,-,-,-
Tomas Holy,-,-,-,-
Michael Jacobs,1,0.4,-,0.6
Seamus Conneely,0.5,0.3,-,0.2
Funso Ojo,0.5,0.2,-,0.3
Regan Poole,1.3,0.6,0.1,0.7
Joseph Maguire,0.4,0.4,-,-
Lee Brown,0.3,0.2,-,0.1
Matt Butcher,1.8,1.6,-,0.2
Zain Westbrooke,1,0.7,0.1,0.2
Ryan Longman,2,0.6,0.1,1.4
Brett Pitman,1.8,0.4,0.2,1.3
Jack Bonham,-,-,-,-
Brett McGavin,0.2,0.2,-,-
George Williams,0.6,0.1,0.1,0.4
Tom Lowery,1,0.5,0.1,0.4
Lee Burge,-,-,-,-
Nikola Tzanev,-,-,-,-
Jack Payne,1.5,0.8,-,0.7
Louis Reed,0.8,0.7,-,0.1
Shaun McWilliams,0.1,0.1,-,-
Oliver Lancashire,0.3,-,-,0.3
Alex Rodman,1.1,0.4,-,0.6
Olamide Shodipo,1.5,0.7,0.1,0.7
Joe Powell,1.6,1.3,-,0.4
Matthew Smith,1,0.5,-,0.5
Sean Goss,1.2,1,-,0.3
Craig MacGillivray,-,-,-,-
Brad Halliday,0.7,0.4,-,0.2
Mickel Miller,1.1,0.4,-,0.7
Jack Rudoni,1.6,0.6,0.1,0.8
Alan Sheehan,0.5,0.3,-,0.2
Ro-Shaun Williams,0.1,-,-,-
Diallang Jaiyesimi,0.6,0.3,0.1,0.3
Ollie Younger,-,-,-,-
Ellery Balcombe,-,-,-,-
Omar Beckles,0.4,-,-,0.4
Josh Parker,0.7,0.3,0.2,0.2
Matthew Smith,0.6,0.4,-,0.2
Kevin Stewart,0.5,0.4,-,0.1
Sam Nicholson,1.9,0.8,0.1,1
Sean Roughan,0.3,-,-,0.3
Paddy Madden,1.8,0.4,0.3,1.1
Michael Mancienne,0.2,0.1,-,0.1
Colin Daniel,0.2,-,0.1,0.1
Danny Rose,1,0.3,0.1,0.6
Marlon Fossey,0.1,-,-,0.1
David Kasumu,0.2,0.2,-,-
Kane Vincent-Young,0.7,0.3,0.1,0.3
James Jones,1.4,0.8,0.1,0.6
Ryan Watson,1.4,0.8,0.1,0.5
Kyle Joseph,1.8,0.1,0.2,1.5
Conor Washington,1.3,0.1,0.1,1
Jay Lynch,-,-,-,-
Jordan Garrick,0.6,0.1,0.1,0.5
Aiden O'Brien,1.5,0.3,0.2,1
Tom Broadbent,0.4,-,0.2,0.3
Max Ehmer,0.5,-,0.2,0.3
Grant Ward,0.6,0.4,-,0.2
Harry Anderson,0.9,0.3,-,0.6
Matt Ingram,-,-,-,-
Harrison Burrows,0.7,0.2,-,0.5
Niall Canavan,0.4,-,0.1,0.3
Matthew Palmer,0.3,0.2,-,0.1
Archie Matthews,-,-,-,-
Michael Cooper,-,-,-,-
Oliver Finney,1.9,0.4,0.2,1.4
Curtis Main,1,0.1,0.2,0.7
Jordan Lawrence-Gabriel,0.1,-,-,0.1
Brad Walker,0.6,0.3,-,0.3
Gerard Garner,1.4,0.4,0.1,0.8
Pablo Martinez,0.3,0.1,-,0.1
Richard Keogh,0.3,0.1,-,0.3
Joshua Daniels,0.7,0.3,0.1,0.4
Josh Grant,0.7,0.3,-,0.3
Bryn Morris,0.8,0.6,-,0.2
Luke Robinson,0.4,0.3,-,0.1
Warren O'Hora,0.2,-,0.1,0.1
Marc Pugh,1.3,0.6,0.3,0.4
Fejiri Okenabirhie,1.5,0.3,0.1,1.1
Adam Matthews,-,-,-,-
Gavin Whyte,0.7,0.2,-,0.5
Ben Heneghan,0.3,-,-,0.3
David Cornell,-,-,-,-
Jake Vokins,0.3,-,-,0.3
Joe Walsh,-,-,-,-
Gabriel Osho,0.5,0.1,-,0.5
Luke Jephcott,1.6,0.3,0.3,1.1
Demetri Mitchell,1.2,0.6,-,0.6
Cian Harries,0.2,0.1,-,0.1
Olly Lee,1.8,0.7,0.2,1
Steve Seddon,0.9,0.2,0.1,0.7
Josef Bursik,-,-,-,-
Conor Shaughnessy,0.7,0.4,0.1,0.3
Luke Murphy,0.5,0.3,0.1,0.2
Emyr Huws,1.6,0.3,0.1,1.1
Toby Savin,-,-,-,-
Jon Taylor,1.2,0.3,0.1,0.8
Ed Upson,0.8,0.5,-,0.2
Niall Ennis,1.5,0.2,0.3,1.1
